,Agg func,Model,Learning rate,Parameters,Eval loss,Test loss
0,median,DeepSet,0.0001,196225,0.5967124856653667,0.7467988967261416
1,median,MeanSet,0.0001,196225,0.654391672166567,0.7036908077115708
2,median,PointNet,0.0001,196225,0.7874772080353328,0.8972113221249682
3,median,HPDS,0.0001,196226,0.670614973656715,0.7325485453326651
4,median,QUANN,0.0001,196737,0.23632757223787762,0.2660709971046828
5,median,SetTransformer,0.0001,263553,0.5334808686895977,0.6014295120505576
6,median,QUANNTransformer,0.0001,246657,0.16844278686339892,0.21965472729123653
7,median,DeepSet,0.0005,196225,0.5744272884395387,0.6026550819106559
8,median,MeanSet,0.0005,196225,0.5799892944475961,0.6780208097176349
9,median,PointNet,0.0005,196225,0.8801643768000225,0.877925934626701
10,median,HPDS,0.0005,196226,,
11,median,QUANN,0.0005,196737,0.11999014404321474,0.19984136870566835
12,median,SetTransformer,0.0005,263553,0.31977840051764533,0.4110201891273894
13,median,QUANNTransformer,0.0005,246657,0.0908023321794139,0.11022297896325906
14,median,DeepSet,0.001,196225,0.5782887410549891,0.6456467658281326
15,median,MeanSet,0.001,196225,0.5837472135585452,0.7368294999320456
16,median,PointNet,0.001,196225,0.8134144546966704,0.911242868672026
17,median,HPDS,0.001,196226,,
18,median,QUANN,0.001,196737,0.09579192521789717,0.16664835576839904
19,median,SetTransformer,0.001,263553,3.078603564746796,3.0612342116680553
20,median,QUANNTransformer,0.001,246657,0.11778767536290818,0.1815814110499985
21,mean,DeepSet,0.0001,196225,0.1038148147719247,0.12104069968645877
22,mean,MeanSet,0.0001,196225,0.10920315951345459,0.12093293635135001
23,mean,PointNet,0.0001,196225,0.1278199888174496,0.14211559660257178
24,mean,HPDS,0.0001,196226,0.13542404321451035,0.14805337640040733
25,mean,QUANN,0.0001,196737,0.01658599012871347,0.040070454218484305
26,mean,SetTransformer,0.0001,263553,0.03449705614161397,0.07473223670286701
27,mean,QUANNTransformer,0.0001,246657,0.00759268737035907,0.025984233123884398
28,mean,DeepSet,0.0005,196225,0.07154033477935526,0.10058877514080798
29,mean,MeanSet,0.0005,196225,0.07863332881104379,0.10613080914667312
30,mean,PointNet,0.0005,196225,0.10694150331001433,0.1254821787092914
31,mean,HPDS,0.0005,196226,0.03335316284071831,0.05237358283410047
32,mean,QUANN,0.0005,196737,0.010554484941715759,0.024945286249350558
33,mean,SetTransformer,0.0005,263553,0.01307772640656266,0.03121645595046117
34,mean,QUANNTransformer,0.0005,246657,0.0025808308384425585,0.023076127439321196
35,mean,DeepSet,0.001,196225,0.08343404957226344,0.10011165783284827
36,mean,MeanSet,0.001,196225,0.07495613044334783,0.09220788952835063
37,mean,PointNet,0.001,196225,0.09756355945553098,0.11748175624203175
38,mean,HPDS,0.001,196226,0.027758308168914583,0.050288898256072335
39,mean,QUANN,0.001,196737,0.00840301947143402,0.03122581038970817
40,mean,SetTransformer,0.001,263553,0.009308657036088998,0.03255389474748455
41,mean,QUANNTransformer,0.001,246657,0.00890071565351848,0.022312797319906902
42,mode,DeepSet,0.0001,196225,4.1643157459440685,4.3614819899518436
43,mode,MeanSet,0.0001,196225,4.534807364145915,4.495220577463191
44,mode,PointNet,0.0001,196225,5.558152668059818,5.610860190492995
45,mode,HPDS,0.0001,196226,3.7577954455027505,3.574941209022035
46,mode,QUANN,0.0001,196737,3.468912709326971,3.82302085643119
47,mode,SetTransformer,0.0001,263553,4.275382707989405,4.089463500900472
48,mode,QUANNTransformer,0.0001,246657,3.132889307680584,3.1665679444657995
49,mode,DeepSet,0.0005,196225,3.8256424400541515,3.7410166409421475
50,mode,MeanSet,0.0005,196225,4.054507403146653,4.029922588074461
51,mode,PointNet,0.0005,196225,5.809374360811143,5.631391796659916
52,mode,HPDS,0.0005,196226,,
53,mode,QUANN,0.0005,196737,2.1362143284271635,1.9844022716613525
54,mode,SetTransformer,0.0005,263553,2.5488373317888806,2.714386577935929
55,mode,QUANNTransformer,0.0005,246657,1.1349264522866598,1.3491809666156769
56,mode,DeepSet,0.001,196225,4.402284699773031,4.009383644195313
57,mode,MeanSet,0.001,196225,4.091994072709765,3.9654880686009184
58,mode,PointNet,0.001,196225,5.473150205990625,5.2258074968419175
59,mode,HPDS,0.001,196226,,
60,mode,QUANN,0.001,196737,2.312484788516211,2.6422096310143774
61,mode,SetTransformer,0.001,263553,3.9861553481646945,4.026295816644709
62,mode,QUANNTransformer,0.001,246657,2.0745478078486426,2.0407186429551305
63,geometric_mean,DeepSet,0.0001,196225,0.10344168098850383,0.1872559302942233
64,geometric_mean,MeanSet,0.0001,196225,0.15411321354645585,0.2502503840728326
65,geometric_mean,PointNet,0.0001,196225,0.059951319728815365,0.1570537959403814
66,geometric_mean,HPDS,0.0001,196226,0.13836571562384803,0.23611874355280654
67,geometric_mean,QUANN,0.0001,196737,0.03419793618931657,0.09914852214352961
68,geometric_mean,SetTransformer,0.0001,263553,0.05990897816798044,0.11368026975245077
69,geometric_mean,QUANNTransformer,0.0001,246657,0.017058309230450836,0.0872855753107789
70,geometric_mean,DeepSet,0.0005,196225,0.3914285110280154,0.3712678381261673
71,geometric_mean,MeanSet,0.0005,196225,0.0913531765460022,0.17959866002994648
72,geometric_mean,PointNet,0.0005,196225,0.05750552412595541,0.112399830899023
73,geometric_mean,HPDS,0.0005,196226,0.05611092232847734,0.1196052019107849
74,geometric_mean,QUANN,0.0005,196737,0.05202756826359305,0.09055595461556569
75,geometric_mean,SetTransformer,0.0005,263553,0.058262484813375134,0.10361991228258356
76,geometric_mean,QUANNTransformer,0.0005,246657,0.03685234584623859,0.12076653252068431
77,geometric_mean,DeepSet,0.001,196225,0.07703595073331916,0.22471738817725093
78,geometric_mean,MeanSet,0.001,196225,0.08173504922657258,0.16379654452085812
79,geometric_mean,PointNet,0.001,196225,0.07074983494858893,0.12249141117121945
80,geometric_mean,HPDS,0.001,196226,0.047134063709231594,0.11816212488338351
81,geometric_mean,QUANN,0.001,196737,0.01893385332299485,0.10040977809261134
82,geometric_mean,SetTransformer,0.001,263553,0.6176561010735375,0.5748914695800619
83,geometric_mean,QUANNTransformer,0.001,246657,0.042402269071086296,0.09180820032587632
84,log_mean_exp,DeepSet,0.0001,196225,0.10866164803386681,0.15547171536278218
85,log_mean_exp,MeanSet,0.0001,196225,0.12576442989446815,0.1722680537148993
86,log_mean_exp,PointNet,0.0001,196225,0.10881460599956058,0.12895144062473418
87,log_mean_exp,HPDS,0.0001,196226,0.1786782664675561,0.226269847614334
88,log_mean_exp,QUANN,0.0001,196737,0.028369134598751625,0.06786719676196337
89,log_mean_exp,SetTransformer,0.0001,263553,0.06158063288718935,0.10384268215560216
90,log_mean_exp,QUANNTransformer,0.0001,246657,0.02473210934216955,0.06589742989200069
91,log_mean_exp,DeepSet,0.0005,196225,0.06027453921971813,0.10665191537601516
92,log_mean_exp,MeanSet,0.0005,196225,0.06449061975119606,0.12539883552396552
93,log_mean_exp,PointNet,0.0005,196225,0.10417996447474237,0.12886292126743085
94,log_mean_exp,HPDS,0.0005,196226,0.04071625619239751,0.09215700700185558
95,log_mean_exp,QUANN,0.0005,196737,0.019137393330253424,0.05486073063443752
96,log_mean_exp,SetTransformer,0.0005,263553,0.019431642729729887,0.06635219112851043
97,log_mean_exp,QUANNTransformer,0.0005,246657,0.031014156435424135,0.06650638222654766
98,log_mean_exp,DeepSet,0.001,196225,0.11785641046507019,0.17453482659890296
99,log_mean_exp,MeanSet,0.001,196225,0.049111765218041246,0.11834297631371846
100,log_mean_exp,PointNet,0.001,196225,0.06830919066828395,0.10648714792617459
101,log_mean_exp,HPDS,0.001,196226,0.04663816519406817,0.07670739891522742
102,log_mean_exp,QUANN,0.001,196737,0.021850960730161104,0.06025103168150885
103,log_mean_exp,SetTransformer,0.001,263553,0.030533015225378293,0.07810219392140812
104,log_mean_exp,QUANNTransformer,0.001,246657,0.02401538973393303,0.05132850601729204
105,harmonic,DeepSet,0.0001,196225,0.09620551321478117,0.12144457857976569
106,harmonic,MeanSet,0.0001,196225,0.1333155637932202,0.1418880865057098
107,harmonic,PointNet,0.0001,196225,0.09628824351562394,0.11956495304215461
108,harmonic,HPDS,0.0001,196226,0.12390810322193872,0.12083040736615658
109,harmonic,QUANN,0.0001,196737,0.02425213706576162,0.03794831245954327
