,Agg func,Model,Learning rate,Parameters,Eval loss,Test loss
0,mean,DeepSet,0.0001,99073,0.2202149187288587,0.22221185385863831
1,mean,MeanSet,0.0001,99073,0.21359534017623416,0.20492088881895898
2,mean,PointNet,0.0001,99073,0.3778696008144863,0.38216065916609254
3,mean,HPDS,0.0001,99074,0.16179817778960107,0.15424897394915846
4,mean,QUANN,0.0001,99585,0.010401564746326397,0.023509513031929097
5,mean,SetTransformer,0.0001,166401,0.039911881931835695,0.05411295392649605
6,mean,QUANNTransformer,0.0001,149505,0.010290602665571939,0.01892863328449745
7,mean,DeepSet,0.0005,99073,0.2225403423820223,0.21866757922033045
8,mean,MeanSet,0.0005,99073,0.20499816584208655,0.2063285289134117
9,mean,PointNet,0.0005,99073,0.3222631535359791,0.3422484166444616
10,mean,HPDS,0.0005,99074,0.1505875407703339,0.14794018809148607
11,mean,QUANN,0.0005,99585,0.002845590187621022,0.01862549384501069
12,mean,SetTransformer,0.0005,166401,0.03084459046404513,0.04080339023803777
13,mean,QUANNTransformer,0.0005,149505,0.0025124436083604536,0.017286635660987468
14,mean,DeepSet,0.001,99073,0.1941605806350708,0.1938751018903357
15,mean,MeanSet,0.001,99073,0.1938215805188058,0.19664681734556846
16,mean,PointNet,0.001,99073,0.33958618059044793,0.3412481663708991
17,mean,HPDS,0.001,99074,0.15170684906225357,0.15537930501902358
18,mean,QUANN,0.001,99585,0.009314348924875496,0.02434113914979265
19,mean,SetTransformer,0.001,166401,0.10311082573164077,0.11340687487353669
20,mean,QUANNTransformer,0.001,149505,0.0037058047240688687,0.017974259715745265
21,mode,DeepSet,0.0001,99073,3.8363150717720154,4.0747956291158145
22,mode,MeanSet,0.0001,99073,3.426494630556258,3.738117923127844
23,mode,PointNet,0.0001,99073,6.158743237692212,6.564029216766357
24,mode,HPDS,0.0001,99074,3.2909163520449685,3.4579137931478785
25,mode,QUANN,0.0001,99585,1.9068881069856978,2.007907391862666
26,mode,SetTransformer,0.0001,166401,2.7060568862491183,2.8598919244522745
27,mode,QUANNTransformer,0.0001,149505,1.4880374244281225,1.4054414880402544
28,mode,DeepSet,0.0005,99073,4.59554798451681,5.053640931210619
29,mode,MeanSet,0.0005,99073,3.850873211073497,4.171565697548237
30,mode,PointNet,0.0005,99073,6.587960530841161,6.898717020420318
31,mode,HPDS,0.0005,99074,2.9637573030259876,3.124498280438971
32,mode,QUANN,0.0005,99585,0.47396378355130314,0.6139409891230628
33,mode,SetTransformer,0.0005,166401,3.374971756859431,3.701409159822667
34,mode,QUANNTransformer,0.0005,149505,0.26726263894566465,0.6727105745689032
35,mode,DeepSet,0.001,99073,4.461376471178872,4.834383419219484
36,mode,MeanSet,0.001,99073,3.7505474752850003,4.333480453237574
37,mode,PointNet,0.001,99073,6.094044431807503,6.620295582933629
38,mode,HPDS,0.001,99074,3.0191602366311208,3.1493840953137013
39,mode,QUANN,0.001,99585,0.5078349769825027,0.7139708370445891
40,mode,SetTransformer,0.001,166401,3.0671441063048346,3.33381073398793
41,mode,QUANNTransformer,0.001,149505,0.47379606693155235,0.6725348137081304
42,variance,DeepSet,0.0001,99073,4.047465284665425,4.579451304166875
43,variance,MeanSet,0.0001,99073,4.4654798659067305,4.812512059161004
44,variance,PointNet,0.0001,99073,3.8181075765973045,3.7422249000123204
45,variance,HPDS,0.0001,99074,4.39165381022862,4.629174828529358
46,variance,QUANN,0.0001,99585,0.3448211969364257,0.6582896493058256
47,variance,SetTransformer,0.0001,166401,4.299016118049622,4.545842260756391
48,variance,QUANNTransformer,0.0001,149505,0.20961245445031967,0.6675944006506432
49,variance,DeepSet,0.0005,99073,3.8652769383930026,4.494869944897104
50,variance,MeanSet,0.0005,99073,3.6431808944732422,4.070464534962431
51,variance,PointNet,0.0005,99073,3.702778549421401,3.500415678988112
52,variance,HPDS,0.0005,99074,3.752187904857454,4.054639087078419
53,variance,QUANN,0.0005,99585,0.16113151544852863,0.6495644440279996
54,variance,SetTransformer,0.0005,166401,2.9771358068027194,3.4961406341258514
55,variance,QUANNTransformer,0.0005,149505,0.2387991047922581,0.9216688337557494
56,variance,DeepSet,0.001,99073,4.32894948550633,5.034487425012792
57,variance,MeanSet,0.001,99073,3.890978043041532,4.451436645173012
58,variance,PointNet,0.001,99073,4.111871393900069,3.642780211377651
59,variance,HPDS,0.001,99074,3.4712544376887973,3.970008798102115
60,variance,QUANN,0.001,99585,0.09665626374679426,0.666553078080587
61,variance,SetTransformer,0.001,166401,2.3994403126693906,2.7299035090081234
62,variance,QUANNTransformer,0.001,149505,0.26868192638669697,0.8137746223030572
63,max,DeepSet,0.0001,99073,0.4398603734989015,0.4261237684082478
64,max,MeanSet,0.0001,99073,0.39547387534190737,0.3902391810366448
65,max,PointNet,0.0001,99073,0.22754934524732923,0.2499452754855156
66,max,HPDS,0.0001,99074,0.3273823092144633,0.2808178890734277
67,max,QUANN,0.0001,99585,0.01305181271440926,0.05223525965467413
68,max,SetTransformer,0.0001,166401,0.041868583975537194,0.072195333235481
69,max,QUANNTransformer,0.0001,149505,0.006163674366054317,0.03575959914126136
70,max,DeepSet,0.0005,99073,0.4000092600546186,0.3436837046545871
71,max,MeanSet,0.0005,99073,0.4163438358477184,0.403762826418623
72,max,PointNet,0.0005,99073,0.20740792178918446,0.196293852331632
73,max,HPDS,0.0005,99074,0.26269026419946123,0.2424931801221472
74,max,QUANN,0.0005,99585,0.005585728364715737,0.037034789942442733
75,max,SetTransformer,0.0005,166401,0.049009985401339475,0.090840269477067
76,max,QUANNTransformer,0.0005,149505,0.0023080752968477705,0.03534730939885621
77,max,DeepSet,0.001,99073,0.45222349500372294,0.35889464767372353
78,max,MeanSet,0.001,99073,0.3678364652016806,0.3605437124980257
79,max,PointNet,0.001,99073,0.21166360023475828,0.2346628846878067
80,max,HPDS,0.001,99074,0.23547455023915048,0.22479452353287885
81,max,QUANN,0.001,99585,0.00292707016296123,0.03190987438961685
82,max,SetTransformer,0.001,166401,0.053844138292507046,0.07964091881752965
83,max,QUANNTransformer,0.001,149505,0.03235898991041477,0.051162584011066464
84,sum,DeepSet,0.0001,99073,15.178226410396515,14.348633111791408
85,sum,MeanSet,0.0001,99073,16.525932281736342,15.18664784634367
86,sum,PointNet,0.0001,99073,75.07778667268299,77.03233812210408
87,sum,HPDS,0.0001,99074,18.1982190041315,17.804666752510883
88,sum,QUANN,0.0001,99585,6.191051757524884,7.409353816762883
89,sum,SetTransformer,0.0001,166401,4.077525651644146,4.7301179576427375
90,sum,QUANNTransformer,0.0001,149505,1.4685976694500635,2.539977487414441
91,sum,DeepSet,0.0005,99073,14.76472148441133,14.567488680494593
92,sum,MeanSet,0.0005,99073,15.508342455303858,14.657324846754683
93,sum,PointNet,0.0005,99073,77.58425004141671,80.28348155731851
94,sum,HPDS,0.0005,99074,19.27023274557931,18.210792511067492
95,sum,QUANN,0.0005,99585,5.566991745479523,6.471860127246126
96,sum,SetTransformer,0.0005,166401,4.082240534207178,4.628362635348705
97,sum,QUANNTransformer,0.0005,149505,1.4146356794332702,2.541556192046784
98,sum,DeepSet,0.001,99073,14.108568342905196,13.119820158532326
99,sum,MeanSet,0.001,99073,15.407769680023193,14.942509113474095
100,sum,PointNet,0.001,99073,79.00280380249023,81.58618147829746
101,sum,HPDS,0.001,99074,14.313133375985283,13.912876717587734
102,sum,QUANN,0.001,99585,2.2139768259865895,3.41349566109637
103,sum,SetTransformer,0.001,166401,330.72259618365575,333.84597291337684
104,sum,QUANNTransformer,0.001,149505,1.3942976907960005,2.4335777988617724
