,Agg func,Model,Learning rate,Parameters,Eval loss,Test loss
0,mean,FSPool,0.0001,99093,0.17165638057012406,0.17978719019509376
1,mean,SlotAtt,0.0001,184065,0.02920580863775242,0.050188627614778406
2,mean,FSPool,0.0005,99093,0.1188483979139063,0.12650976028848201
3,mean,SlotAtt,0.0005,184065,0.02558169040888075,0.047429567456166164
4,mean,FSPool,0.001,99093,0.14693151047778508,0.16541311319204086
5,mean,SlotAtt,0.001,184065,0.028171816338149327,0.04594526504859962
6,mode,FSPool,0.0001,99093,3.741544763247172,3.7900875337580415
7,mode,SlotAtt,0.0001,184065,2.212368909328703,2.6659779894859233
8,mode,FSPool,0.0005,99093,3.6217851260351757,3.840800682280926
9,mode,SlotAtt,0.0005,184065,2.753198091945951,2.7686802440501275
10,mode,FSPool,0.001,99093,3.2353117759265597,3.2117788233655564
11,mode,SlotAtt,0.001,184065,2.960722111520313,2.7293929032822875
12,variance,FSPool,0.0001,99093,4.015912769332765,3.678002324510128
13,variance,SlotAtt,0.0001,184065,1.2612823621621208,1.8392865758627019
14,variance,FSPool,0.0005,99093,2.5707476252601262,2.287000980148924
15,variance,SlotAtt,0.0005,184065,1.3912847817890228,1.941308042470445
16,variance,FSPool,0.001,99093,3.0928507409398516,2.798879533372027
17,variance,SlotAtt,0.001,184065,3.3898387144482327,3.505379753417157
18,max,FSPool,0.0001,99093,0.33889103609891164,0.3266655335083921
19,max,SlotAtt,0.0001,184065,0.01694929669703549,0.08767011453712141
20,max,FSPool,0.0005,99093,0.3120464634682451,0.32349593144782046
21,max,SlotAtt,0.0005,184065,0.020482042275871786,0.09364568273541815
22,max,FSPool,0.001,99093,0.23016559308956538,0.25893381388580544
23,max,SlotAtt,0.001,184065,0.09186303488437146,0.16489450016514735
24,sum,FSPool,0.0001,99093,14.398546506488135,13.816331701075777
25,sum,SlotAtt,0.0001,184065,46.59186157347664,56.74144649505615
26,sum,FSPool,0.0005,99093,9.916701377384246,9.692706427675612
27,sum,SlotAtt,0.0005,184065,79.73137649657234,78.10963094995377
28,sum,FSPool,0.001,99093,8.95033618003603,8.920382152212428
29,sum,SlotAtt,0.001,184065,121.49528115893168,119.01942313985622
