,Agg func,Model,Learning rate,Parameters,Eval loss,Test loss
0,median,FSPool,0.0001,196245,0.5977284364284031,0.6455120434786411
1,median,SlotAtt,0.0001,281217,0.3044359665068369,0.4595848859703921
2,median,FSPool,0.0005,196245,0.41673910676959963,0.4739538318616279
3,median,SlotAtt,0.0005,281217,0.1688805983239223,0.2642935783641928
4,median,FSPool,0.001,196245,0.41400588114583303,0.5059977169842163
5,median,SlotAtt,0.001,281217,0.16667338593729905,0.28107679056677415
6,mean,FSPool,0.0001,196245,0.09583812348899387,0.09466251564469744
7,mean,SlotAtt,0.0001,281217,0.021221713872537726,0.05086925219585921
8,mean,FSPool,0.0005,196245,0.046333231120592074,0.06038723891957643
9,mean,SlotAtt,0.0005,281217,0.011014822312438536,0.025199158662097886
10,mean,FSPool,0.001,196245,0.051646303444627735,0.06608741607596265
11,mean,SlotAtt,0.001,281217,0.009794750557621084,0.024856882489365625
12,mode,FSPool,0.0001,196245,3.9437303713389804,3.62901404943872
13,mode,SlotAtt,0.0001,281217,3.9634725271709383,3.84355572373309
14,mode,FSPool,0.0005,196245,2.479943120053836,2.598041242741524
15,mode,SlotAtt,0.0005,281217,3.4419010007192217,3.3903745476235736
16,mode,FSPool,0.001,196245,2.168797292406597,2.398016516991118
17,mode,SlotAtt,0.001,281217,4.122278705475822,4.29915777165839
18,geometric_mean,FSPool,0.0001,196245,0.0984578411878338,0.17731991217055537
19,geometric_mean,SlotAtt,0.0001,281217,0.05752083912698759,0.09864236737918505
20,geometric_mean,FSPool,0.0005,196245,0.09516075444370804,0.19411628216287083
21,geometric_mean,SlotAtt,0.0005,281217,0.04301805351860821,0.07872186583575812
22,geometric_mean,FSPool,0.001,196245,0.07313793732799471,0.16099664365793478
23,geometric_mean,SlotAtt,0.001,281217,0.28591868707111906,0.3182122620971913
24,log_mean_exp,FSPool,0.0001,196245,0.09444034640632924,0.13754792685838454
25,log_mean_exp,SlotAtt,0.0001,281217,0.026392645997157883,0.07409662982706536
26,log_mean_exp,FSPool,0.0005,196245,0.09306210017807427,0.12897875672206283
27,log_mean_exp,SlotAtt,0.0005,281217,0.021461707270068544,0.06283821136829384
28,log_mean_exp,FSPool,0.001,196245,0.05896162197348617,0.1302917276390214
29,log_mean_exp,SlotAtt,0.001,281217,0.5064824384356302,0.5210240369147443
30,harmonic,FSPool,0.0001,196245,0.10281817337113713,0.10827766973128979
31,harmonic,SlotAtt,0.0001,281217,0.031021911059580153,0.05137013692527692
32,harmonic,FSPool,0.0005,196245,0.0738751423648662,0.07698357031938244
33,harmonic,SlotAtt,0.0005,281217,0.014694042987973681,0.021828142879035402
34,harmonic,FSPool,0.001,196245,0.03765857948492917,0.044443963313514884
35,harmonic,SlotAtt,0.001,281217,0.015530397293217008,0.019841356985667285
36,midrange,FSPool,0.0001,196245,0.09377797057349531,0.08692563747234167
37,midrange,SlotAtt,0.0001,281217,0.02077177454050379,0.03129022184851025
38,midrange,FSPool,0.0005,196245,0.022399481657582026,0.040393947083701164
39,midrange,SlotAtt,0.0005,281217,0.01628136567726162,0.031908001269565577
40,midrange,FSPool,0.001,196245,0.03805875379799141,0.0452226177848717
41,midrange,SlotAtt,0.001,281217,0.07252230983050097,0.08007611908969726
42,variance,FSPool,0.0001,196245,3.7564170937689525,3.3086360515432154
43,variance,SlotAtt,0.0001,281217,1.6143127675094302,1.9413512485458495
44,variance,FSPool,0.0005,196245,1.050907927373099,1.5382479825552473
45,variance,SlotAtt,0.0005,281217,1.2806944847106934,1.5504912569167766
46,variance,FSPool,0.001,196245,1.1601218266619577,1.254997100918851
47,variance,SlotAtt,0.001,281217,10.633166188285465,10.629908734179558
48,max,FSPool,0.0001,196245,0.12433017218219382,0.14433444338910123
49,max,SlotAtt,0.0001,281217,0.07251547917327289,0.10561063106573049
50,max,FSPool,0.0005,196245,0.07067259377245569,0.09310592174718275
51,max,SlotAtt,0.0005,281217,0.073664598362816,0.11644117520971006
52,max,FSPool,0.001,196245,0.04829860964442589,0.08352466541320144
53,max,SlotAtt,0.001,281217,0.14081577607800091,0.15213210056932208
54,sum,FSPool,0.0001,196245,7.792609971667093,7.42765156258928
55,sum,SlotAtt,0.0001,281217,62.789429346720375,57.804040969686305
56,sum,FSPool,0.0005,196245,4.593912970452082,5.534746834572325
57,sum,SlotAtt,0.0005,281217,132.46736423552983,128.64822014341962
58,sum,FSPool,0.001,196245,3.950411032116602,5.097388432381001
59,sum,SlotAtt,0.001,281217,310.33463129921563,308.5078975596326
