,Agg func,Model,Learning rate,Parameters,Eval loss,Test loss
0,mean,DeepSet,0.0005,196225,0.07240706510723584,0.08786600459604821
1,mean,MeanSet,0.0005,196225,0.08262127283073607,0.10530449933511146
2,mean,PointNet,0.0005,196225,0.09446632306254099,0.11192953709433688
3,mean,HPDS,0.0001,196226,0.12348124532709046,0.1296210232725803
4,mean,QUANN,0.001,196737,0.01416096709565156,0.030553773015816795
5,mean,SetTransformer,0.0001,263553,0.033404264451255876,0.058056521061015255
6,mean,QUANNTransformer,0.001,246657,0.012499181575895775,0.03226003921194438
7,mode,DeepSet,0.0005,196225,4.062415578062573,4.104943722486496
8,mode,MeanSet,0.0005,196225,4.083547682043106,4.254354670960852
9,mode,PointNet,0.0005,196225,5.188682412344312,5.564254258541351
10,mode,HPDS,0.0001,196226,4.034321058364141,3.9424605255431318
11,mode,QUANN,0.001,196737,2.041626074957469,2.0198917574387916
12,mode,SetTransformer,0.0001,263553,4.241563490458897,4.4724802571408295
13,mode,QUANNTransformer,0.001,246657,1.672424351175626,1.779227963628921
14,variance,DeepSet,0.0005,196225,1.3578610519568126,2.1125993113568486
15,variance,MeanSet,0.0005,196225,1.6030606759919062,1.991428978582646
16,variance,PointNet,0.0005,196225,2.1667024464834306,2.242368316396754
17,variance,HPDS,0.0001,196226,2.5338311829264204,2.8104092117319714
18,variance,QUANN,0.001,196737,0.58513681401336,0.7580633588293766
19,variance,SetTransformer,0.0001,263553,1.8711069689856634,2.1393181859178747
20,variance,QUANNTransformer,0.001,246657,2.481937099070776,2.8431058526039124
21,max,DeepSet,0.0005,196225,0.12922372181885064,0.20630441167877314
22,max,MeanSet,0.0005,196225,0.0867019989500044,0.16070012874471548
23,max,PointNet,0.0005,196225,0.030957569549274113,0.10332801226685022
24,max,HPDS,0.0001,196226,0.1498653752108415,0.20283698502610972
25,max,QUANN,0.001,196737,0.03699435820684783,0.06996663943542406
26,max,SetTransformer,0.0001,263553,0.09648598886523692,0.14486149102548493
27,max,QUANNTransformer,0.001,246657,0.04900990367778355,0.08967051946092397
28,sum,DeepSet,0.0005,196225,3.612046096060011,5.060220398801438
29,sum,MeanSet,0.0005,196225,9.476687771933419,9.686686173398444
30,sum,PointNet,0.0005,196225,18.2003084969899,20.94413807037029
31,sum,HPDS,0.0001,196226,11.71253965014503,11.542687659567974
32,sum,QUANN,0.001,196737,3.5919348039324324,4.524197422443552
33,sum,SetTransformer,0.0001,263553,2.4370065728823342,3.3418507081397038
34,sum,QUANNTransformer,0.001,246657,1.1973735420476823,2.00859356845947
