,Min_K,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf
0,256,DeepSet,0.0001,208808,1.6112238961331389,1.6215681249791003,0.6449468085106383
1,256,MeanSet,0.0001,208808,1.83701768454085,1.839828151337644,0.4967863477290944
2,256,HPDS,0.0001,208809,1.2757765542953572,1.2852756723444512,0.6568040784369124
3,256,PointNet,0.0001,208808,0.8686284064612491,0.8683944452316203,0.7841312060964868
4,256,QUANN,0.0001,209320,2.260243779167216,2.272918277598442,0.6720966313113558
5,256,SetTransformer,0.0001,271144,1.2016109431043585,1.200332594044665,0.6798537234042553
6,256,QUANNTransformer,0.0001,320552,1.311818671416729,1.3193377840392135,0.7487765957446809
7,256,DeepSet,0.0005,208808,2.320543057106911,2.3170923755524004,0.7024601063829787
8,256,MeanSet,0.0005,208808,1.7416606520084623,1.7532729731595262,0.6512632978723404
9,256,HPDS,0.0005,208809,1.5870418545413525,1.583407588778658,0.7696143617021277
10,256,PointNet,0.0005,208808,1.4389194560811875,1.4896069026373802,0.7942154255319149
11,256,QUANN,0.0005,209320,3.582044702895144,3.579124234458233,0.6738696808510638
12,256,SetTransformer,0.0005,271144,1.1944054628306249,1.203624757363441,0.6887189720539336
13,256,QUANNTransformer,0.0005,320552,1.1923687411115522,1.2216233427854295,0.7723803191489362
14,256,DeepSet,0.001,208808,1.987835945918205,2.010000868680629,0.7108820924099456
15,256,MeanSet,0.001,208808,2.7313300738943385,2.725955533220413,0.6527039009205838
16,256,HPDS,0.001,208809,1.626874399311999,1.6478713487691068,0.7516622340425532
17,256,PointNet,0.001,208808,1.5418655761378877,1.5856150150933164,0.7843528370907966
18,256,QUANN,0.001,209320,2.644095775294811,2.6458242047340312,0.6356382978723404
19,256,SetTransformer,0.001,271144,1.115275556419758,1.1133355850234945,0.7041223404255319
20,256,QUANNTransformer,0.001,320552,1.053720186428821,1.0709180077973834,0.7657313829787235
21,512,DeepSet,0.0001,208808,1.6475905446296042,1.6565494508819376,0.6449468085106383
22,512,MeanSet,0.0001,208808,1.7824188597658848,1.783271826328115,0.5285904255319149
23,512,HPDS,0.0001,208809,1.2715164790762232,1.2797835209268205,0.669991134963137
24,512,PointNet,0.0001,208808,0.8681833767827521,0.872970017822499,0.7854609933305294
25,512,QUANN,0.0001,209320,2.359903463023774,2.388713633760493,0.6735372340425532
26,512,SetTransformer,0.0001,271144,1.1773816277372076,1.182100829925943,0.6906028370907966
27,512,QUANNTransformer,0.0001,320552,1.1244277006768164,1.1332210439316772,0.7417952127659575
28,512,DeepSet,0.0005,208808,2.475065506519156,2.512990297155177,0.691156914893617
29,512,MeanSet,0.0005,208808,1.7533474241165403,1.7796525764972606,0.6683289009205838
30,512,HPDS,0.0005,208809,1.580250715004637,1.5605155299318598,0.7668439720539336
31,512,PointNet,0.0005,208808,1.4784050639322464,1.4646578989130383,0.7732712765957447
32,512,QUANN,0.0005,209320,3.6150037976021454,3.64846341280227,0.6945921987929242
