,Min_K,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf
0,256,FSPool,0.0001,208036,0.8257988501102367,0.8305779724045003,0.8037455677986145
1,256,SlotAtt,0.0001,288808,1.2129972849754578,1.1864882542731914,0.7271719860269669
2,256,FSPool,0.0005,208036,1.3681340762909422,1.39352995379174,0.7969858158142009
3,256,SlotAtt,0.0005,288808,1.262970321355982,1.2413245112972056,0.7512189720539336
4,256,FSPool,0.001,208036,1.5240408354934225,1.4816308833183127,0.8095079787234043
5,256,SlotAtt,0.001,288808,1.7471484161437827,1.7586022729569293,0.49756205684327065
6,512,FSPool,0.0001,208036,0.8418483483664533,0.8253681716766763,0.7925531914893617
7,512,SlotAtt,0.0001,288808,1.235901489853859,1.215096541541688,0.7238475179418604
8,512,FSPool,0.0005,208036,1.2921777966808765,1.282102994303754,0.804188829787234
9,512,SlotAtt,0.0005,288808,1.2990207925755928,1.2786011752930093,0.7474512413461157
10,512,FSPool,0.001,208036,1.4811045806458656,1.4462352770757168,0.8107269507773379
11,512,SlotAtt,0.001,288808,1.437007097487754,1.4241038224798568,0.5958554966652647
12,1024,FSPool,0.0001,208036,0.8365531275247006,0.8309972257690227,0.7982047872340425
13,1024,SlotAtt,0.0001,288808,1.1660805160694934,1.1860862225294113,0.7321586881546264
14,1024,FSPool,0.0005,208036,1.361078310203045,1.3748129828179136,0.7958776595744681
15,1024,SlotAtt,0.0005,288808,1.3237442513729663,1.3561354469745717,0.7541001775163285
16,1024,FSPool,0.001,208036,1.4115121992344553,1.4471684481869354,0.7939937945376051
17,1024,SlotAtt,0.001,288808,2.1627636615266193,2.1901263531218182,0.3865248228007175
