,Max_k,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf,Img Classif Loss,Img Classif Perf
0,10,DeepSet,0.0001,208818,0.2629671777997698,0.2627662074692706,0.5433881048192369,1.9097149574279786,0.4273
1,10,MeanSet,0.0001,208818,0.2837867722624824,0.2839921433874901,0.5164975390789357,2.5197069900512696,0.2689
2,10,PointNet,0.0001,208818,0.2751075074313179,0.27432157368736065,0.5273317872209752,2.5232171630859375,0.2796
3,10,HPDS,0.0001,208819,0.27778332455763743,0.2766308082228011,0.5214553519766382,3.015515299606323,0.1801
4,10,QUANN,0.0001,209330,0.27030050068620654,0.26952956886367596,0.5303592751634881,2.482651575088501,0.2911
5,10,SetTransformer,0.0001,269874,0.23628826746864925,0.23736673815453307,0.599626435244337,1.8898527877807618,0.4871
6,10,QUANNTransformer,0.0001,252978,,,0.5,,0.0124
7,10,DeepSet,0.0005,208818,0.24284935423306056,0.24311377979973528,0.5889373345577971,1.4615888637542724,0.565
8,10,MeanSet,0.0005,208818,0.2649833115320357,0.2633851698421417,0.5363707136600575,2.105156183242798,0.3647
9,10,PointNet,0.0005,208818,0.2989421037454454,0.298684964788721,0.5,3.298601523971558,0.067
10,10,HPDS,0.0005,208819,0.22379281194437117,0.22406366245543702,0.5981330643308923,2.0104202182769777,0.424
11,10,QUANN,0.0005,209330,0.15536620597990733,0.15580881640632102,0.6838552406493653,1.5039785655975342,0.5624
12,10,SetTransformer,0.0005,269874,0.23153237785611833,0.23239696786758748,0.6005111336708069,1.5415041385650634,0.5434
13,10,QUANNTransformer,0.0005,252978,0.10651592922116083,0.10442926560310607,0.7346067276406796,1.3413412733078003,0.6182
14,10,DeepSet,0.001,208818,0.2546098158946113,0.2536231185844604,0.5790657445471338,1.7495002685546874,0.482
15,10,MeanSet,0.001,208818,0.2630589363120851,0.2618317638939999,0.5462354351865485,2.0985588459014894,0.3834
16,10,PointNet,0.001,208818,0.2194381110251896,0.21744366243798682,0.6333580194635594,1.8954294158935547,0.4419
17,10,HPDS,0.001,208819,0.27455971472793156,0.27407197987145565,0.5264712217006278,2.785408154296875,0.2335
18,10,QUANN,0.001,209330,0.11566380955397136,0.11532367750051174,0.7297905436221589,1.3820504636764526,0.5998
19,10,SetTransformer,0.001,269874,,,0.5,,0.0124
20,10,QUANNTransformer,0.001,252978,0.13814040119685825,0.13799886651178625,0.70702496614862,1.783038735961914,0.4806
21,15,DeepSet,0.0001,208818,0.29647333990959895,0.29599758792430797,0.5552516909355812,1.9387569206237794,0.4285
22,15,MeanSet,0.0001,208818,0.31796358265574015,0.3182194816305282,0.5206115543842316,2.6571883583068847,0.2374
23,15,PointNet,0.0001,208818,0.33442309877229115,0.33498135589538736,0.5040159323748122,3.305210242462158,0.067
24,15,HPDS,0.0001,208819,0.31559674843909247,0.31538342256495294,0.5236880126151633,3.029827569961548,0.1781
25,15,QUANN,0.0001,209330,0.3015485429574573,0.30259378951914767,0.5408733804175194,2.4459165435791017,0.3005
26,15,SetTransformer,0.0001,269874,0.2680406655584063,0.27044697058327655,0.6013768093383058,1.9203226266860962,0.4803
27,15,QUANNTransformer,0.0001,252978,0.20914830338387264,0.21167180465256913,0.6472132085485661,1.703498241996765,0.5476
28,15,DeepSet,0.0005,208818,0.27308266432512374,0.27430382022198213,0.5924123589028704,1.6148938543319702,0.518
29,15,MeanSet,0.0005,208818,0.3276441087798467,0.3282485217490095,0.5100607390099383,3.2981830005645754,0.067
30,15,PointNet,0.0005,208818,0.3343832336720966,0.3349804919450841,0.5040159323748122,3.298233451461792,0.0652
31,15,HPDS,0.0005,208819,0.3049824455427745,0.3043982224895599,0.535952588979234,2.754273239517212,0.2193
32,15,QUANN,0.0005,209330,0.19150872859689924,0.19208286670928307,0.6626654844334785,1.5362306713104248,0.5547
33,15,SetTransformer,0.0005,269874,,,0.5,,0.0124
34,15,QUANNTransformer,0.0005,252978,0.155147223955109,0.15676015781912397,0.700401912344263,1.5335046672821044,0.5607
35,15,DeepSet,0.001,208818,0.29342789072839043,0.29413287309890096,0.5587925004198196,2.100706234741211,0.3867
36,15,MeanSet,0.001,208818,0.32781684304040576,0.32836916376935676,0.5096122295932567,3.29722310256958,0.067
37,15,PointNet,0.001,208818,0.3343763403476231,0.3348972331336204,0.5040159323748122,3.2982505332946777,0.067
38,15,HPDS,0.001,208819,0.3219307954349215,0.32220007447486226,0.5166559954907032,3.1563464519500735,0.1307
39,15,QUANN,0.001,209330,0.1323276259123333,0.13522526265141813,0.723269190559996,1.4036456541061402,0.5901
40,15,SetTransformer,0.001,269874,,,0.5,,0.0124
41,15,QUANNTransformer,0.001,252978,0.17238474767359477,0.17233532968353718,0.6935365561475145,1.897514666748047,0.456
42,20,DeepSet,0.0001,208818,0.31647617523632354,0.31659710724303064,0.5567376398025675,2.049521210861206,0.3923
43,20,MeanSet,0.0001,208818,0.3356674937974839,0.3369307857244573,0.5261462032794952,2.7575764934539797,0.208
44,20,PointNet,0.0001,208818,0.3358050580062563,0.3366195686320041,0.5247694609013009,2.811473791885376,0.2013
45,20,HPDS,0.0001,208819,0.33195379754853627,0.3328887211515548,0.5305880333514924,2.978657183456421,0.1719
46,20,QUANN,0.0001,209330,0.31943189672061373,0.32047551616709286,0.5481428421558218,2.4925380039215086,0.2839
47,20,SetTransformer,0.0001,269874,0.2878141545114063,0.2885967860830591,0.6017971628523887,1.9796356479644774,0.4537
48,20,QUANNTransformer,0.0001,252978,0.23839013585968624,0.23880708502962233,0.6392108119548635,1.741672529220581,0.53
49,20,DeepSet,0.0005,208818,0.2915030869226607,0.2929448466351692,0.5934747742845657,1.6793044132232666,0.5051
50,20,MeanSet,0.0005,208818,0.3421251958324796,0.34398197937518993,0.5188969443453119,3.2988258209228514,0.0652
51,20,PointNet,0.0005,208818,0.3536735527099125,0.3561001863885433,0.5025636867639867,3.2989092987060546,0.067
52,20,HPDS,0.0005,208819,0.325343381317835,0.32591824772510125,0.5436739198704983,2.7272902408599853,0.2228
53,20,QUANN,0.0005,209330,0.20541810208842867,0.20834679330917114,0.6659936239110663,1.6062497339248658,0.5314
54,20,SetTransformer,0.0005,269874,,,0.5,,0.0124
55,20,QUANNTransformer,0.0005,252978,0.16277051397732326,0.16387511456900455,0.7085039615631104,1.4430923484802247,0.5888
56,20,DeepSet,0.001,208818,0.2884321856120276,0.29125416817817285,0.5999212727901784,1.912484188079834,0.4415
57,20,MeanSet,0.001,208818,0.34212686949306065,0.34395657194421647,0.5186554764179473,3.298644334411621,0.067
58,20,PointNet,0.001,208818,0.3537232114209069,0.3561655298826542,0.5030675679445267,3.2978111938476564,0.067
59,20,HPDS,0.001,208819,0.3415058075435578,0.34335704306338694,0.5191792129202092,3.364943250274658,0.0819
60,20,QUANN,0.001,209330,0.17683027046067373,0.17912956010153952,0.6879622283134055,1.4458962259292603,0.5852
61,20,SetTransformer,0.001,269874,,,0.5,,0.0124
62,20,QUANNTransformer,0.001,252978,0.174111613205501,0.17535649699733613,0.7001189139295132,1.7420892135620116,0.4918
63,25,DeepSet,0.0001,208818,0.3276936837605068,0.3283894442497416,0.5664370155080836,2.095158465194702,0.384
64,25,MeanSet,0.0001,208818,0.35413233581043424,0.3541439765311302,0.5308305798692906,3.304245706176758,0.067
65,25,PointNet,0.0001,208818,0.3716559764884767,0.3706114368235811,0.5064471031123019,3.3081324420928957,0.0581
66,25,HPDS,0.0001,208819,0.35383040375179714,0.35391678898892504,0.5296650148452596,3.191339015579224,0.0929
67,25,QUANN,0.0001,209330,0.3357181856556544,0.33649178705316907,0.5533815711102588,2.5822568977355957,0.2577
68,25,SetTransformer,0.0001,269874,0.3006299805073511,0.3023814384607559,0.607037290613702,2.040873355102539,0.4271
69,25,QUANNTransformer,0.0001,252978,0.24273088054051475,0.24500635789429887,0.6470915003025786,1.8085290710449218,0.5213
70,25,DeepSet,0.0005,208818,0.30997104398787967,0.3137467433797552,0.5873313958340503,2.0262468658447266,0.4034
71,25,MeanSet,0.0005,208818,0.35419142009719967,0.3542670613907753,0.5314918445779923,3.3018707580566407,0.0652
72,25,PointNet,0.0005,208818,0.37151852486625553,0.37056569596554373,0.5050527047603688,3.2998689041137697,0.067
73,25,HPDS,0.0005,208819,0.35169789289671277,0.3514430396100308,0.5328062049886013,3.1844336826324464,0.137
74,25,QUANN,0.0005,209330,0.2261287011797466,0.23003456028217964,0.6554496028321855,1.6820452863693238,0.5073
75,25,SetTransformer,0.0005,269874,0.3541702524064079,0.35411780343410815,0.5300394886351646,3.299433285903931,0.0652
76,25,QUANNTransformer,0.0005,252978,0.21615472246730139,0.21856068344192303,0.6717321555665199,1.819065319252014,0.4743
77,25,DeepSet,0.001,208818,0.33829000119179015,0.3382334978656566,0.5531006322262135,2.5536833934783933,0.2501
78,25,MeanSet,0.001,208818,0.35442866787077887,0.35433566348349793,0.5341009941506893,3.2974970752716066,0.067
