,Max_k,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf
0,8,DeepSet,0.0001,111666,0.25707224460821304,0.2584165409207344,0.5043860968757183
1,8,MeanSet,0.0001,111666,0.26049870394525076,0.26177955910246425,0.5015402715256874
2,8,PointNet,0.0001,111666,0.2611984409510143,0.2632782483037482,0.5016079104327141
3,8,HPDS,0.0001,111667,0.2633487189572955,0.2650087795993115,0.5001605479641164
4,8,QUANN,0.0001,112178,0.25361394030707224,0.2548527294333945,0.5123915057233039
5,8,SetTransformer,0.0001,172722,0.2501452198577306,0.2507264482531142,0.5164804807368745
6,8,QUANNTransformer,0.0001,155826,0.24278256036932505,0.24388432439337385,0.531267578931565
7,8,DeepSet,0.0005,111666,0.2595676410765875,0.2607736311694409,0.5064154628743517
8,8,MeanSet,0.0005,111666,0.25858647624651593,0.2601662701431741,0.5023356666590305
9,8,PointNet,0.0005,111666,0.26193713928971973,0.2645278365371075,0.5046327063377868
10,8,HPDS,0.0005,111667,0.2624963424981587,0.2640639901795286,0.500261201503429
11,8,QUANN,0.0005,112178,0.23513372005924346,0.23805964690573672,0.5555615349018828
12,8,SetTransformer,0.0005,172722,0.2502302224673922,0.2508952005746517,0.5217490602046886
13,8,QUANNTransformer,0.0005,155826,0.2171514911784066,0.2195295125563094,0.5874842303864499
14,8,DeepSet,0.001,111666,0.25920049231203773,0.2601854021244861,0.5050734839540847
15,8,MeanSet,0.001,111666,0.25847360562710536,0.260083683944763,0.5035632655341574
16,8,PointNet,0.001,111666,0.26501033916359856,0.2666405469496199,0.5068257787126176
17,8,HPDS,0.001,111667,0.26387106213304734,0.2654835808467358,0.5009968686611095
18,8,QUANN,0.001,112178,0.23487606242535605,0.2371280643534153,0.5602250232341441
19,8,SetTransformer,0.001,172722,0.25300102314305684,0.25378567218146425,0.5149970206808536
20,8,QUANNTransformer,0.001,155826,0.21868820157315996,0.22032669614604178,0.5846637677639088
21,16,DeepSet,0.0001,111666,0.31576084570279195,0.3126597505934695,0.5225996039015182
22,16,MeanSet,0.0001,111666,0.3181821188283345,0.3151985295909516,0.5180628553349921
