,Max_k,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf,Img Classif Loss,Img Classif Perf
0,10,FSPool,0.0001,208838,0.27818718883726334,0.27848319550778006,0.5195981486046568,2.605688022994995,0.2445
1,10,SlotAtt,0.0001,287538,0.22371428448056419,0.22459046162189322,0.6179471897318008,1.929623621749878,0.4979
2,10,FSPool,0.0005,208838,0.2092526446259211,0.20826652503394066,0.6555788669180362,1.4582974264144897,0.5697
3,10,SlotAtt,0.0005,287538,0.29808361189705984,0.2983733272932945,0.5,3.2834710678100585,0.0674
4,10,FSPool,0.001,208838,0.2530999207307422,0.252207801697102,0.6183821362383822,1.6605282468795777,0.5071
5,10,SlotAtt,0.001,287538,0.298063483030077,0.29831072117419954,0.5,3.2838037780761717,0.0674
6,15,FSPool,0.0001,208838,0.3082488898247007,0.3106376313148661,0.5257046717278501,2.755840083312988,0.2011
7,15,SlotAtt,0.0001,287538,0.24954801892477368,0.2511879044010284,0.6248037694616521,1.9896890880584717,0.4723
8,15,FSPool,0.0005,208838,0.27136157476712786,0.2750698329603418,0.6013627084011727,1.6912182075500488,0.4924
9,15,SlotAtt,0.0005,287538,0.24292835924360487,0.24642809686508585,0.6277218809787263,1.8477698303222656,0.4673
10,15,FSPool,0.001,208838,0.2631217875177898,0.26577291193794694,0.6643546705550336,1.515456392288208,0.5621
11,15,SlotAtt,0.001,287538,0.33229213527270723,0.3339856209907126,0.5,3.2835213863372803,0.0674
12,20,FSPool,0.0001,208838,0.32811537763429066,0.3270046419285713,0.5409733906705328,2.6315772514343263,0.2323
13,20,SlotAtt,0.0001,287538,0.26854759241853443,0.2672300009017295,0.6230400204658508,2.1287926864624023,0.4315
14,20,FSPool,0.0005,208838,0.27365134254334467,0.2733465168387332,0.6433074639198628,1.5723299819946288,0.5356
15,20,SlotAtt,0.0005,287538,0.35662374420771525,0.3562270444124303,0.5,3.283822253036499,0.0674
16,20,FSPool,0.001,208838,0.3423648646899632,0.3421261104497504,0.5233027098026681,3.2850140453338623,0.0674
17,20,SlotAtt,0.001,287538,0.3566035935803065,0.35624343759201943,0.5,3.2837021305084226,0.0674
18,25,FSPool,0.0001,208838,0.3327117477144514,0.3324075030519607,0.5561183970025245,2.6216907150268556,0.2236
19,25,SlotAtt,0.0001,287538,0.2941405442025926,0.29391250394760293,0.613127109852243,2.1641989200592042,0.4009
20,25,FSPool,0.0005,208838,0.3394250065561325,0.33837379229829667,0.5486582346419071,2.7918310260772703,0.1895
21,25,SlotAtt,0.0005,287538,0.37185757690005833,0.36985878551259954,0.5000081829568173,3.2836519245147704,0.0674
22,25,FSPool,0.001,208838,0.25620817570459276,0.2578274664726663,0.6564533361729156,1.61497611618042,0.5304
23,25,SlotAtt,0.001,287538,0.371824763597004,0.3699408449391101,0.5001136422791379,3.2837947566986085,0.0674
