,Unnamed: 0,Aggregator,Model,Parameters,Learning rate,Test loss,Eval loss 1,Eval loss 2,Eval loss 3,Eval loss 4,Eval loss 5,Eval loss 6,Eval loss 7,Eval loss 8,Eval loss 9,Eval loss 10
0,0,L2_medoid,Ablation_1,8480,0.0001,23.23722046613693,41.77522170543671,34.30326980352402,29.684387862682343,27.700435400009155,26.408572137355804,25.157472789287567,24.040885150432587,23.31636226177216,22.815845608711243,22.38651752471924
1,1,L2_medoid,Ablation_2,15776,0.0001,40.64690458774567,44.45535159111023,42.95640504360199,41.154114723205566,40.97325015068054,40.92948162555695,40.84321868419647,40.73850655555725,40.60859036445618,40.48487329483032,40.12812554836273
2,2,L2_medoid,QUANN_1,11696,0.0001,22.798979818820957,41.64318263530731,33.89474976062775,28.87309145927429,26.10051810741425,24.726186245679852,24.0160650908947,23.36539578437805,22.70743402838707,22.11302182078361,21.74360293149948
3,3,L2_medoid,Ablation_1,8480,0.0005,20.565415620803837,26.15981101989746,21.97754055261612,21.815755367279053,21.64303070306778,21.591670900583267,21.438037484884266,21.30167269706726,21.15611070394516,20.70777741074562,19.85534518957138
4,4,L2_medoid,Ablation_2,15776,0.0005,31.67273825407028,39.20864868164063,37.57683801651001,35.49036204814911,35.01903146505356,33.631501615047455,33.376196801662445,32.511839270591736,31.49439686536789,31.253877699375156,30.759504318237305
5,5,L2_medoid,QUANN_1,11696,0.0005,17.418149054050446,25.72579789161682,21.910585463047028,21.597098171710968,20.89835080504417,19.443991512060165,18.42681184411049,17.799699395895004,17.495874851942062,17.145233929157257,16.90969145298004
6,6,L2_medoid,Ablation_1,8480,0.001,19.04311227798462,22.942980349063877,21.73297002911568,21.232521057128903,19.601794242858887,18.95035976171493,18.61771848797798,18.515974819660187,18.275846272706985,18.26748812198639,18.22464129328728
7,7,L2_medoid,Ablation_2,15776,0.001,31.250281989574432,38.90808343887329,35.799859046936035,34.887374460697174,34.41677504777908,34.1549488902092,32.227902710437775,31.93072021007538,31.509886264801025,30.44592636823654,30.065284490585327
8,8,L2_medoid,QUANN_1,11696,0.001,17.002390950918198,23.08873361349106,19.30228179693222,17.878770351409912,17.15745010972023,16.82028102874756,16.582887142896652,16.57436177134514,16.498206168413162,16.36606591939926,16.33204621076584
9,9,L2_medoid,Ablation_1,8480,0.005,18.316536754369736,19.2487114071846,19.36667424440384,18.75287687778473,18.993416905403137,18.478565216064453,18.45943859219551,18.609813183546063,18.04519394040108,17.53997838497162,17.59939333796501
10,10,L2_medoid,Ablation_2,15776,0.005,32.440259754657745,39.27736473083496,37.73118531703949,37.12386190891266,36.82593286037445,35.46665847301483,34.04374563694,32.77494686841965,32.42868733406067,32.17559403181076,31.74502646923065
11,11,L2_medoid,QUANN_1,11696,0.005,17.963478326797485,17.50249120593071,17.345083355903625,17.259845465421677,17.23382169008255,17.443652987480164,17.331133127212524,17.246400862932205,17.074995934963226,17.181855022907257,17.236787378787994
12,12,L2_medoid,Ablation_1,8480,0.01,18.897383868694305,20.20899659395218,20.716781616210938,20.16174459457397,19.811248928308487,20.0389364361763,19.39844843745232,19.717054933309555,18.639894247055054,18.442396134138107,18.20921117067337
13,13,L2_medoid,Ablation_2,15776,0.01,35.67219817638397,39.92640244960785,39.37758660316467,38.03205275535584,37.27697455883026,36.06826794147492,35.7351468205452,35.37813067436218,35.45925796031952,34.509522795677185,35.059432446956635
14,14,L2_medoid,QUANN_1,11696,0.01,18.63749200105667,20.42541578412056,19.070721447467804,19.80884498357773,18.5676933825016,17.860284686088562,17.83231210708618,17.817020654678345,17.845146268606186,18.768947899341583,18.089917719364166
15,15,P2_mean,Ablation_1,8480,0.0001,10.531035363674164,21.079303205013275,20.2476578950882,19.29765510559082,18.211637526750565,16.9363272190094,15.543940931558607,14.098150461912155,12.646099120378494,11.289817303419111,10.144019424915314
16,16,P2_mean,Ablation_2,15776,0.0001,5.194778360426426,19.76575055718422,16.05145752429962,9.50552698969841,7.464016079902649,7.231235280632973,7.091691300272942,6.617336094379425,6.247714772820473,5.536306321620941,4.993569582700729
17,17,P2_mean,QUANN_1,11696,0.0001,4.57576060295105,18.75339525938034,6.851287841796875,5.518858775496483,5.2647785022854805,5.086515203118324,4.964437589049339,4.850834056735039,4.741129018366337,4.592247158288956,4.472302459180355
18,18,P2_mean,Ablation_1,8480,0.0005,4.557039618492127,16.681817919015884,9.066941529512404,7.380913197994232,6.670977979898453,5.351837009191513,4.7676378935575485,4.626728035509586,4.556203655898571,4.539746858179569,4.396473541855812
19,19,P2_mean,Ablation_2,15776,0.0005,3.846237376332283,7.534458696842194,6.012352377176285,4.719009540975094,4.255392849445343,3.9778174310922623,3.908572345972061,3.881745912134648,3.81977504491806,3.803948014974594,3.789279453456402
20,20,P2_mean,QUANN_1,11696,0.0005,3.5316818356513977,4.5927568301558495,3.89200072735548,3.79853355884552,3.725829377770424,3.7001914009451866,3.676501624286175,3.679242789745331,3.6616541668772697,3.564762644469738,3.463900215923786
21,21,P2_mean,Ablation_1,8480,0.001,3.73941670358181,11.129986390471458,7.331935808062553,5.365032203495503,4.66577123105526,4.47092991322279,4.201545350253582,4.078190132975578,3.957177869975567,3.7772618904709816,3.6692696437239647
22,22,P2_mean,Ablation_2,15776,0.001,3.798554949462414,7.039173111319542,4.926603056490421,4.460643976926804,4.259013444185257,4.107363387942314,3.9359194561839104,3.861713923513889,3.7697940543293953,3.746512338519096,3.7333708107471466
23,23,P2_mean,QUANN_1,11696,0.001,2.5185695253312588,4.199064143002033,3.7824169248342514,3.727686934173107,3.672725409269333,3.5785181000828743,3.4549453258514404,3.2738251835107803,3.0195175781846046,2.6685626544058323,2.430430367588997
24,24,P2_mean,Ablation_1,8480,0.005,1.1463535465300083,7.0487315356731415,4.3038056045770645,3.873261623084545,3.19856808334589,2.6734464168548584,2.024196404963732,2.01816076785326,1.504756774753332,1.2966967299580574,1.1193886753171682
25,25,P2_mean,Ablation_2,15776,0.005,3.755171194672585,4.253325775265694,3.989419780671597,3.932335905730724,3.877070039510727,3.851113870739937,4.072488829493523,3.7921973541378975,3.826279178261757,3.790786862373352,3.7094469368457794
26,26,P2_mean,QUANN_1,11696,0.005,1.1127872429788113,4.061110198497772,3.6667246222496033,3.5672986805438995,2.4344216994941235,1.8772498853504656,1.3866711519658566,1.1819249503314495,1.242719329893589,1.0127669218927622,1.0717441998422146
