,Aggregator,Model,Parameters,Learning rate,Test loss,Eval loss 1,Eval loss 2,Eval loss 3,Eval loss 4,Eval loss 5,Eval loss 6,Eval loss 7,Eval loss 8,Eval loss 9,Eval loss 10
0,L2_medoid,QUANN_1,9584,0.0001,23.986203253269196,42.84636700153351,36.06423979997635,31.52012950181961,29.148636639118195,27.435948848724365,26.32808917760849,25.660933911800385,25.170680701732635,24.90294897556305,24.589832484722137
1,L2_medoid,QUANN_2,10688,0.0001,23.44340044260025,42.81262171268463,36.59106558561325,32.27576106786728,29.82094931602478,28.178729593753815,26.87391757965088,26.037724256515503,25.437614381313324,24.958666265010834,24.5871199965477
2,L2_medoid,QUANN_3,12896,0.0001,24.183180034160614,43.19522476196289,36.536352694034576,32.1044437289238,29.37733268737793,27.524319529533386,26.761918365955353,26.411184310913086,26.05505919456482,25.627078115940094,25.306009888648987
3,L2_medoid,QUANN_1a,11696,0.0001,23.32961094379425,42.84120547771454,36.00997060537338,31.774162232875824,29.35377663373947,27.579644083976746,26.540232717990875,25.918833136558533,25.244434118270874,24.61947786808014,24.116241991519928
4,L2_medoid,QUANN_2a,14912,0.0001,23.956941783428192,42.881444454193115,35.83341681957245,30.73003488779068,28.211503505706787,26.85148549079895,26.072093605995178,25.554164588451385,25.159646570682526,24.920605957508087,24.76549530029297
5,L2_medoid,QUANN_3a,21344,0.0001,24.097673416137695,42.47466206550598,35.175191819667816,30.762342989444733,28.72472769021988,27.782682061195374,27.095975279808044,26.350513815879822,25.715223133563995,25.243230521678925,24.968074083328247
6,L2_medoid,QUANN_1c,10672,0.0001,22.796286940574646,42.93166172504425,35.88039517402649,30.703366994857788,27.406084299087524,25.537967801094055,24.585859894752502,24.085736095905304,23.924400091171265,23.855954468250275,23.825025022029877
7,L2_medoid,QUANN_2c,12864,0.0001,24.04016613960266,42.89633584022522,36.19290781021118,32.008534610271454,29.206805050373077,27.40536081790924,26.299560010433197,25.609538078308105,25.160090625286102,24.90488588809967,24.712965190410614
8,L2_medoid,QUANN_3c,17248,0.0001,24.545908629894257,42.85823905467987,35.96363413333893,31.96439003944397,29.983589947223663,28.527706503868103,27.52777749300003,26.650323510169983,26.056944131851196,25.615209341049194,25.121452808380127
9,L2_medoid,QUANN_1,9584,0.0005,18.323956072330475,28.958203673362732,25.474708318710327,24.161219656467438,23.582840383052826,23.2806533575058,22.529473960399628,21.29642316699028,20.220779061317444,19.506520301103592,18.95147094130516
10,L2_medoid,QUANN_2,10688,0.0005,18.05869621038437,28.76758325099945,24.08794891834259,23.549882113933563,22.750366866588593,21.56965345144272,20.459065169095993,19.56581625342369,19.069217056035995,18.76847669482231,18.44750702381134
11,L2_medoid,QUANN_3,12896,0.0005,17.730063796043396,26.895723342895508,23.906626522541046,23.3048894405365,22.215438187122345,20.651833087205887,19.640797197818756,19.008736789226532,18.71676406264305,18.403262943029404,18.259673476219177
